iter	Passed	Remaining
563	17979	13899
564	18012	13868
565	18047	13838
566	18082	13809
567	18118	13780
568	18153	13751
569	18190	13722
570	18226	13693
571	18264	13666
572	18300	13637
573	18340	13611
574	18377	13583
575	18416	13556
576	18450	13526
577	18486	13497
578	18522	13468
579	18560	13440
580	18596	13411
581	18630	13381
582	18665	13350
583	18700	13320
584	18736	13291
585	18771	13261
586	18806	13231
587	18841	13201
588	18872	13169
589	18904	13136
590	18937	13105
591	18970	13074
592	19004	13043
593	19037	13012
594	19072	12982
595	19106	12951
596	19137	12918
597	19169	12886
598	19202	12855
599	19236	12824
600	19270	12793
601	19302	12761
602	19334	12729
603	19367	12697
604	19405	12669
605	19438	12638
606	19469	12605
607	19501	12573
608	19535	12542
609	19569	12511
610	19616	12488
611	19662	12465
612	19694	12433
613	19729	12403
614	19760	12370
615	19793	12338
616	19824	12306
617	19856	12273
618	19890	12242
619	19922	12210
620	19955	12178
621	19987	12146
622	20019	12114
623	20053	12083
624	20085	12051
625	20118	12019
626	20150	11987
627	20181	11954
628	20213	11922
629	20245	11890
630	20277	11857
631	20311	11826
632	20342	11794
633	20373	11761
634	20417	11736
635	20452	11705
636	20484	11673
637	20520	11643
638	20554	11612
639	20589	11581
640	20623	11550
641	20656	11518
642	20689	11487
643	20723	11456
644	20758	11425
645	20791	11393
646	20825	11362
647	20857	11330
648	20887	11296
649	20921	11265
650	20955	11234
651	20989	11202
652	21022	11171
653	21055	11139
654	21087	11107
655	21120	11075
656	21153	11043
657	21187	11012
658	21217	10979
659	21251	10947
660	21283	10915
661	21317	10884
662	21352	10853
663	21386	10822
664	21418	10789
665	21453	10758
666	21486	10726
667	21518	10695
668	21553	10663
669	21587	10632
670	21620	10600
671	21653	10569
672	21687	10537
673	21720	10505
674	21755	10474
675	21788	10442
676	21822	10411
677	21855	10379
678	21889	10348
679	21923	10316
680	21956	10285
681	21989	10252
682	22028	10223
683	22063	10193
684	22097	10161
685	22134	10131
686	22169	10100
687	22202	10068
688	22235	10036
689	22268	10004
690	22305	9974
691	22338	9942
692	22372	9911
693	22405	9879
694	22439	9847
695	22471	9815
696	22510	9785
697	22547	9755
698	22582	9724
699	22617	9693
700	22653	9662
701	22691	9632
702	22724	9600
703	22759	9569
