Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
4081,SUZUKI,A-STAR,2013,1000.0,Manual,Petrol,132000.0,Padukka,2025-01-23,No Leasing,USED,Available,Available,Not_Available,Available,36.5
7915,TOYOTA,COROLLA 121,2003,1500.0,Automatic,Petrol,242000.0,Kurunegala,2024-12-24,No Leasing,USED,Available,Available,Available,Available,69.0
5749,SUZUKI,WAGON R,2018,660.0,Automatic,Petrol,77000.0,Kalutara,2025-02-02,No Leasing,USED,Available,Available,Available,Available,69.56041666666667
1543,MAZDA,DEMIO,2010,1340.0,Automatic,Petrol,165000.0,Matugama,2024-12-10,No Leasing,USED,Available,Available,Available,Available,57.0
3601,NISSAN,WINGROAD VFY11,2000,1500.0,Automatic,Petrol,275000.0,Kandy,2025-02-04,No Leasing,USED,Available,Available,Available,Available,32.9
5197,SUZUKI,MARUTI,2004,800.0,Manual,Petrol,231000.0,Kurunegala,2025-01-02,No Leasing,USED,Available,Available,Available,Available,14.75
676,HONDA,FIT GP1,2012,1300.0,Automatic,Hybrid,143000.0,Negombo,2025-01-09,Ongoing Lease,USED,Available,Available,Available,Available,64.0
9202,TOYOTA,VITZ,2016,1000.0,Automatic,Petrol,99000.0,Malabe,2025-02-02,No Leasing,USED,Available,Available,Available,Available,74.75
4649,SUZUKI,ALTO JAPAN,2003,650.0,Automatic,Petrol,242000.0,Ratnapura,2025-01-28,No Leasing,USED,Available,Available,Not_Available,Available,32.15
9296,TOYOTA,VITZ,2010,1300.0,Automatic,Petrol,165000.0,Kandana,2025-01-09,No Leasing,USED,Available,Available,Available,Available,64.0
9070,TOYOTA,TOYOTA,2004,2000.0,Automatic,Petrol,231000.0,Dompe,2025-01-25,No Leasing,USED,Available,Available,Available,Available,49.5
3079,NISSAN,MARCH,2000,1000.0,Manual,Petrol,275000.0,Galle,2025-02-04,No Leasing,USED,Available,Available,Available,Available,27.5
2335,MITSUBISHI,LANCER WAGON,1977,1400.0,Manual,Petrol,528000.0,Moneragala,2025-01-19,No Leasing,USED,Not_Available,Available,Not_Available,Not_Available,5.5
3761,PERODUA,VIVA ELITE,2010,1000.0,Manual,Petrol,165000.0,Kandy,2025-01-15,Ongoing Lease,NEW,Available,Available,Available,Available,37.5
3282,NISSAN,N16 SYLPHY,2000,1499.0,Automatic,Petrol,275000.0,Nittambuwa,2025-02-05,Ongoing Lease,USED,Available,Available,Available,Available,39.75
7130,TOYOTA,AQUA G GRADE,2013,1500.0,Automatic,Hybrid,132000.0,Ja-Ela,2025-01-20,No Leasing,USED,Available,Available,Available,Available,78.5
5003,SUZUKI,HUSTLER,2016,650.0,Automatic,Petrol,99000.0,Malabe,2025-02-03,No Leasing,USED,Available,Available,Available,Available,64.75
866,HONDA,FIT GP5 S GRADE,2014,1490.0,Automatic,Petrol,121000.0,Nittambuwa,2025-01-30,No Leasing,USED,Available,Available,Available,Available,80.25
5928,SUZUKI,WAGON R FX,2015,650.0,Automatic,Hybrid,110000.0,Kandy,2025-02-04,No Leasing,USED,Available,Available,Available,Available,54.79375
4801,SUZUKI,ALTO LXI,2010,800.0,Manual,Petrol,165000.0,Homagama,2024-12-13,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,26.2
6913,TOYOTA,ALLION G GRADE,2013,1500.0,Automatic,Petrol,132000.0,Colombo,2025-01-18,No Leasing,USED,Available,Available,Available,Available,127.0
2777,NISSAN,FB14 EX SALOON,1998,1500.0,Automatic,Petrol,297000.0,Minuwangoda,2025-02-03,No Leasing,USED,Available,Available,Available,Available,29.9
2291,MITSUBISHI,LANCER CS1 GLX,2008,1300.0,Automatic,Petrol,187000.0,Ambalangoda,2025-02-02,No Leasing,USED,Available,Available,Not_Available,Available,54.33333333333333
8154,TOYOTA,COROLLA KE72,1983,1300.0,Manual,Petrol,462000.0,Kadawatha,2025-01-06,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.45
8497,TOYOTA,PASSO HANA KGC30,2010,1000.0,Automatic,Petrol,165000.0,Colombo,2025-02-04,No Leasing,USED,Available,Available,Available,Available,51.9
2270,MITSUBISHI,LANCER CK2 MX EFI,1998,1500.0,Manual,Petrol,297000.0,Ratnapura,2025-02-05,No Leasing,USED,Available,Available,Available,Available,40.0
7827,TOYOTA,COROLLA,1989,1500.0,Manual,Diesel,396000.0,Beruwala,2024-12-05,No Leasing,USED,Available,Available,Available,Available,16.0
5246,SUZUKI,MARUTI,2011,800.0,Manual,Petrol,154000.0,Kandy,2024-12-14,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,20.4
9494,TOYOTA,VITZ,2015,1000.0,Automatic,Petrol,110000.0,Kandy,2024-12-07,No Leasing,USED,Available,Available,Available,Available,76.0
6486,SUZUKI,WAGON R STINGRAY TURBO,2017,660.0,Automatic,Hybrid,88000.0,Kotte,2025-02-01,No Leasing,USED,Available,Available,Available,Available,69.2
4306,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Gampaha,2025-01-20,No Leasing,USED,Available,Available,Not_Available,Available,33.02984496124031
1210,HYUNDAI,EON,2014,814.0,Manual,Petrol,121000.0,Malabe,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,35.9
2473,NISSAN,B14,1995,1300.0,Manual,Petrol,330000.0,Matara,2025-01-19,No Leasing,USED,Available,Available,Not_Available,Not_Available,20.65
2119,MITSUBISHI,GALANT,1985,1500.0,Manual,Petrol,440000.0,Gampaha,2025-01-30,No Leasing,USED,Available,Available,Not_Available,Not_Available,4.75
9482,TOYOTA,VITZ,2007,1300.0,Automatic,Petrol,198000.0,Polgahawela,2024-12-09,No Leasing,USED,Available,Available,Available,Available,58.25
6436,SUZUKI,WAGON R STINGRAY,2015,1000.0,Automatic,Petrol,110000.0,Colombo,2024-12-05,No Leasing,USED,Available,Available,Available,Available,56.0
1618,MAZDA,MAZDA,2002,1490.0,Automatic,Petrol,253000.0,Gampaha,2025-01-09,No Leasing,USED,Available,Available,Available,Available,19.75
3784,PERODUA,VIVA ELITE,2011,1000.0,Automatic,Petrol,154000.0,Colombo,2025-01-07,No Leasing,USED,Available,Available,Available,Available,37.5
8993,TOYOTA,STARLET EP71,1987,1300.0,Manual,Petrol,418000.0,Matale,2025-01-13,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,14.0
4651,SUZUKI,ALTO JAPAN,2007,660.0,Automatic,Petrol,198000.0,Matara,2025-01-27,No Leasing,USED,Available,Available,Available,Available,36.5
617,HONDA,FIT GD1,2003,1300.0,Automatic,Petrol,242000.0,Kandy,2025-01-18,No Leasing,USED,Available,Available,Available,Available,46.9
5471,SUZUKI,SWIFT,2004,1320.0,Automatic,Petrol,231000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Available,Not_Available,44.75
4984,SUZUKI,ESTILO,2015,1000.0,Manual,Petrol,110000.0,Mirigama,2025-01-04,No Leasing,USED,Available,Available,Available,Available,32.0
3007,NISSAN,HB12 TRAD SUNNY FULL LIGHT,1988,1450.0,Manual,Petrol,407000.0,Nugegoda,2025-01-31,No Leasing,USED,Available,Available,Available,Available,13.5
766,HONDA,FIT GP5,2014,1490.0,Automatic,Hybrid,121000.0,Welisara,2025-01-12,No Leasing,USED,Available,Available,Available,Available,77.0
8201,TOYOTA,CORONA,1987,1800.0,Manual,Petrol,418000.0,Kuliyapitiya,2024-12-30,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,8.75
5035,SUZUKI,MARUTI,2004,800.0,Manual,Petrol,231000.0,Kurunegala,2025-02-05,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,14.85
5303,SUZUKI,MARUTI 800,1998,800.0,Manual,Petrol,297000.0,Colombo,2024-12-29,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,13.25
1144,HYUNDAI,ACCENT,2001,1714.0,Automatic,Petrol,264000.0,Kotte,2025-01-08,No Leasing,USED,Available,Available,Available,Available,22.15357142857143
7770,TOYOTA,CE110 SE SALOON LIMITED,1998,2000.0,Automatic,Diesel,297000.0,Kuliyapitiya,2025-02-04,No Leasing,USED,Available,Available,Available,Available,37.8
2455,NISSAN,B11 LONGOING BUFFER,1980,1500.0,Manual,Petrol,495000.0,Gampaha,2025-02-02,No Leasing,USED,Available,Available,Not_Available,Not_Available,8.85
462,HONDA,CITY,2000,1500.0,Automatic,Petrol,275000.0,Colombo,2025-01-04,Ongoing Lease,USED,Available,Available,Available,Available,18.175000000000008
3353,NISSAN,PULSAR,1997,1500.0,Automatic,Petrol,308000.0,Kotte,2025-01-08,No Leasing,USED,Available,Available,Available,Available,23.93333333333333
3693,PERODUA,KENARI,2007,1000.0,Automatic,Petrol,198000.0,Colombo,2025-02-04,No Leasing,USED,Available,Available,Available,Available,33.0
4269,SUZUKI,ALTO,2015,800.0,Manual,Petrol,110000.0,Malabe,2025-01-28,No Leasing,USED,Available,Available,Available,Available,33.02984496124031
2868,NISSAN,FB15,2002,1300.0,Automatic,Petrol,253000.0,Puttalam,2025-01-04,No Leasing,NEW,Available,Available,Available,Available,37.25
