Unnamed: 0,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price
4059,SUZUKI,A-STAR,2013,1000.0,Automatic,Petrol,132000.0,Galle,2025-01-29,No Leasing,USED,Available,Available,Not_Available,Available,43.75
1987,MICRO,PANDA CROSS,2014,1300.0,Manual,Petrol,121000.0,Colombo,2025-01-09,Ongoing Lease,USED,Available,Available,Available,Available,27.5
7836,TOYOTA,COROLLA 110,1996,1330.0,Automatic,Petrol,319000.0,Kadawatha,2025-02-02,No Leasing,USED,Available,Available,Available,Available,29.95000727272727
383,FIAT,PUNTO,2007,1400.0,Automatic,Petrol,198000.0,Homagama,2024-12-18,No Leasing,USED,Available,Available,Not_Available,Available,20.5
5634,SUZUKI,SWIFT BEETLE SPECIAL EDITION,2010,1300.0,Automatic,Petrol,165000.0,Balangoda,2025-01-21,No Leasing,USED,Available,Available,Available,Available,58.9
4307,SUZUKI,ALTO,2015,1111.0,Manual,Petrol,110000.0,Hanwella,2025-01-20,No Leasing,USED,Available,Available,Not_Available,Available,32.5
3388,NISSAN,RZ 1,1989,1500.0,Manual,Petrol,396000.0,Matara,2024-12-06,No Leasing,USED,Available,Available,Not_Available,Available,10.5
3156,NISSAN,MARCH K11,2002,1000.0,Automatic,Petrol,253000.0,Boralesgamuwa,2025-01-31,No Leasing,USED,Available,Available,Available,Available,31.95
2727,NISSAN,FB14,1997,1500.0,Automatic,Petrol,308000.0,Gampaha,2025-02-01,No Leasing,USED,Available,Available,Available,Available,27.75
8948,TOYOTA,SPRINTER 111,2000,1300.0,Manual,Petrol,275000.0,Ganemulla,2025-01-16,No Leasing,USED,Available,Available,Available,Available,30.0
6349,SUZUKI,WAGON R STINGRAY,2018,660.0,Automatic,Hybrid,77000.0,Galle,2024-12-29,No Leasing,USED,Available,Available,Available,Available,67.9
8496,TOYOTA,PASSO BOON,2016,1000.0,Automatic,Petrol,99000.0,Gampaha,2025-01-15,No Leasing,USED,Available,Available,Available,Available,69.0
8762,TOYOTA,PRIUS,2016,1790.0,Automatic,Petrol,99000.0,Colombo,2025-02-05,No Leasing,USED,Available,Available,Available,Available,136.76785714285708
8185,TOYOTA,CORONA,1997,1300.0,Manual,Petrol,308000.0,Colombo,2025-02-04,No Leasing,USED,Available,Available,Not_Available,Not_Available,13.5
3832,PERODUA,VIVA ELITE,2011,1000.0,Automatic,Petrol,154000.0,Negombo,2024-12-25,No Leasing,USED,Available,Available,Available,Available,40.82627118644068
8517,TOYOTA,PREMIO,2007,1500.0,Automatic,Petrol,198000.0,Kurunegala,2025-02-05,No Leasing,USED,Available,Available,Available,Available,92.4375
4776,SUZUKI,ALTO LXI,2015,800.0,Manual,Petrol,110000.0,Kottawa,2025-01-30,No Leasing,USED,Available,Available,Not_Available,Available,31.75
4276,SUZUKI,ALTO,2016,800.0,Manual,Petrol,99000.0,Jaffna,2025-01-26,No Leasing,USED,Available,Available,Not_Available,Available,34.8
253,DAEWOO,NUBIRA,2000,1568.0,Automatic,Petrol,275000.0,Panadura,2025-02-05,No Leasing,USED,Available,Available,Not_Available,Available,17.95
5883,SUZUKI,WAGON R,2004,1061.0,Manual,Petrol,231000.0,Pannipitiya,2024-12-19,No Leasing,USED,Available,Available,Not_Available,Available,37.4375
9385,TOYOTA,VITZ,2008,1000.0,Automatic,Petrol,187000.0,Kesbewa,2024-12-31,No Leasing,USED,Available,Available,Available,Available,56.5
6945,TOYOTA,AQUA,2013,1500.0,Automatic,Hybrid,132000.0,Kandana,2025-02-02,No Leasing,USED,Available,Available,Available,Available,72.0
278,DAIHATSU,CHARADE G200S,1997,1300.0,Manual,Petrol,308000.0,Dompe,2024-12-14,Ongoing Lease,USED,Available,Available,Not_Available,Not_Available,15.0
3252,NISSAN,N16,2005,1500.0,Automatic,Petrol,220000.0,Kotte,2024-12-05,No Leasing,USED,Available,Available,Available,Available,46.5
2480,NISSAN,B15,2001,1290.0,Automatic,Petrol,264000.0,Anuradapura,2025-01-26,No Leasing,USED,Available,Available,Available,Available,37.9
289,DAIHATSU,JAPAN,1996,847.0,Manual,Petrol,319000.0,Matugama,2024-12-17,Ongoing Lease,USED,Available,Available,Not_Available,Not_Available,14.5
5803,SUZUKI,WAGON R,2016,660.0,Automatic,Hybrid,99000.0,Negombo,2025-01-05,No Leasing,USED,Available,Available,Available,Available,54.9
3075,NISSAN,LUCINO,1998,1500.0,Automatic,Petrol,297000.0,Negombo,2024-12-08,No Leasing,USED,Available,Available,Available,Available,27.5
8366,TOYOTA,IST,2007,1500.0,Automatic,Petrol,198000.0,Ratnapura,2025-01-29,No Leasing,USED,Available,Available,Available,Available,69.5
9262,TOYOTA,VITZ,2007,1000.0,Automatic,Petrol,198000.0,Galle,2025-01-17,No Leasing,USED,Available,Available,Available,Available,51.0
6107,SUZUKI,WAGON R FZ SAFETY,2017,660.0,Automatic,Hybrid,88000.0,Kegalle,2025-02-03,No Leasing,USED,Available,Available,Available,Available,69.95
5089,SUZUKI,MARUTI,2013,800.0,Manual,Petrol,132000.0,Nittambuwa,2025-01-31,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,19.75
6940,TOYOTA,AQUA,2013,1500.0,Automatic,Hybrid,132000.0,Pannipitiya,2025-02-04,No Leasing,USED,Available,Available,Available,Available,73.75
9511,TOYOTA,VITZ EDITION,2017,1000.0,Automatic,Petrol,88000.0,Kandy,2025-02-02,No Leasing,USED,Available,Available,Available,Available,85.0
8219,TOYOTA,CORONA AT170,1990,1500.0,Manual,Petrol,385000.0,Kuliyapitiya,2025-01-22,No Leasing,USED,Available,Available,Available,Available,18.5
5836,SUZUKI,WAGON R,2014,660.0,Automatic,Petrol,121000.0,Moneragala,2025-01-05,No Leasing,USED,Available,Available,Available,Available,53.8
7390,TOYOTA,AXIO,2015,1500.0,Automatic,Hybrid,110000.0,Gampaha,2024-12-08,No Leasing,USED,Available,Available,Available,Available,112.63636363636364
270,DAIHATSU,CHARADE,1989,1113.0,Manual,Diesel,396000.0,Kaduwela,2024-12-15,No Leasing,USED,Available,Not_Available,Not_Available,Not_Available,12.9
4570,SUZUKI,ALTO 800 LXI,2013,800.0,Manual,Petrol,132000.0,Hanwella,2025-01-20,No Leasing,USED,Available,Available,Not_Available,Available,29.8
